tile,label_date,label,image,x,y,year,ctry,type,usage,label_group
tile000000,24-Jul,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_07/raster_07_454811.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000000_2024_07_s1.tif,523569.2626114946,1849729.2568442672,2024,india,center,train,2
tile000000,24-Sep,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_09/raster_09_454811.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000000_2024_09_s1.tif,523569.2626114946,1849729.2568442672,2024,india,center,train,2
tile000000,24-Nov,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_11/raster_11_454811.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000000_2024_11_s1.tif,523569.2626114946,1849729.2568442672,2024,india,center,validate,2
tile000000,24-Aug,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_08/raster_08_454811.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000000_2024_08_s1.tif,523569.2626114946,1849729.2568442672,2024,india,center,train,2
tile000001,24-Jul,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_07/raster_07_454864.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000001_2024_07_s1.tif,528049.3784456806,1858689.5118942691,2024,india,center,test,2
tile000001,24-Sep,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_09/raster_09_454864.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000001_2024_09_s1.tif,528049.3784456806,1858689.5118942691,2024,india,center,train,2
tile000001,24-Oct,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_10/raster_10_454864.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000001_2024_10_s1.tif,528049.3784456806,1858689.5118942691,2024,india,center,test,2
tile000002,24-Jul,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_07/raster_07_454856.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000002_2024_07_s1.tif,537009.1871124967,1860929.5430146272,2024,india,center,train,2
tile000002,24-Sep,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_09/raster_09_454856.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000002_2024_09_s1.tif,537009.1871124967,1860929.5430146272,2024,india,center,train,2
tile000002,24-Oct,/home/airg/rabedi/thesis/mittilabs/rice_practices/mask_ready/2024_10/raster_10_454856.tif,/home/airg/rabedi/thesis/mittilabs/rice_practices/s1_new/tile000002_2024_10_s1.tif,537009.1871124967,1860929.5430146272,2024,india,center,train,2
