name,Class,x,y,farea,fprop,cntry,year,label_group,usage,label,image
4092,2,76,4092,0,0,india,,3,train,masks/grid_76_mask_4092_cog.tif,images/grid_76_4092_cog.tif
1327,2,85,1327,0,0,india,,3,train,masks/grid_85_mask_1327_cog.tif,images/grid_85_1327_cog.tif
4046,2,28,4046,0,0,india,,3,train,masks/grid_28_mask_4046_cog.tif,images/grid_28_4046_cog.tif
3559,2,28,3559,0,0,india,,3,train,masks/grid_28_mask_3559_cog.tif,images/grid_28_3559_cog.tif
1295,2,18,1295,0,0,india,,3,train,masks/grid_18_mask_1295_cog.tif,images/grid_18_1295_cog.tif
1652,2,25,1652,0,0,india,,3,train,masks/grid_25_mask_1652_cog.tif,images/grid_25_1652_cog.tif
664,2,85,664,0,0,india,,3,train,masks/grid_85_mask_664_cog.tif,images/grid_85_664_cog.tif
3988,2,76,3988,0,0,india,,3,train,masks/grid_76_mask_3988_cog.tif,images/grid_76_3988_cog.tif
4716,2,85,4716,0,0,india,,3,train,masks/grid_85_mask_4716_cog.tif,images/grid_85_4716_cog.tif
3367,2,85,3367,0,0,india,,3,train,masks/grid_85_mask_3367_cog.tif,images/grid_85_3367_cog.tif
3384,2,17,3384,0,0,india,,3,train,masks/grid_17_mask_3384_cog.tif,images/grid_17_3384_cog.tif
5466,2,28,5466,0,0,india,,3,train,masks/grid_28_mask_5466_cog.tif,images/grid_28_5466_cog.tif
5145,2,18,5145,0,0,india,,3,train,masks/grid_18_mask_5145_cog.tif,images/grid_18_5145_cog.tif
3096,2,25,3096,0,0,india,,3,train,masks/grid_25_mask_3096_cog.tif,images/grid_25_3096_cog.tif
2566,2,25,2566,0,0,india,,3,train,masks/grid_25_mask_2566_cog.tif,images/grid_25_2566_cog.tif
4542,2,18,4542,0,0,india,,3,train,masks/grid_18_mask_4542_cog.tif,images/grid_18_4542_cog.tif
1955,2,15,1955,0,0,india,,3,train,masks/grid_15_mask_1955_cog.tif,images/grid_15_1955_cog.tif
4205,2,76,4205,0,0,india,,3,train,masks/grid_76_mask_4205_cog.tif,images/grid_76_4205_cog.tif
1203,2,17,1203,0,0,india,,3,train,masks/grid_17_mask_1203_cog.tif,images/grid_17_1203_cog.tif
91,2,28,91,0,0,india,,3,train,masks/grid_28_mask_91_cog.tif,images/grid_28_91_cog.tif
4783,2,15,4783,0,0,india,,3,train,masks/grid_15_mask_4783_cog.tif,images/grid_15_4783_cog.tif
5360,2,25,5360,0,0,india,,3,train,masks/grid_25_mask_5360_cog.tif,images/grid_25_5360_cog.tif
3783,2,76,3783,0,0,india,,3,train,masks/grid_76_mask_3783_cog.tif,images/grid_76_3783_cog.tif
2728,2,76,2728,0,0,india,,3,train,masks/grid_76_mask_2728_cog.tif,images/grid_76_2728_cog.tif
587,2,85,587,0,0,india,,3,train,masks/grid_85_mask_587_cog.tif,images/grid_85_587_cog.tif
4221,2,18,4221,0,0,india,,3,train,masks/grid_18_mask_4221_cog.tif,images/grid_18_4221_cog.tif
4083,2,85,4083,0,0,india,,3,train,masks/grid_85_mask_4083_cog.tif,images/grid_85_4083_cog.tif
1073,2,18,1073,0,0,india,,3,train,masks/grid_18_mask_1073_cog.tif,images/grid_18_1073_cog.tif
261,2,25,261,0,0,india,,3,train,masks/grid_25_mask_261_cog.tif,images/grid_25_261_cog.tif
5425,2,17,5425,0,0,india,,3,train,masks/grid_17_mask_5425_cog.tif,images/grid_17_5425_cog.tif
2407,2,17,2407,0,0,india,,3,train,masks/grid_17_mask_2407_cog.tif,images/grid_17_2407_cog.tif
1776,2,17,1776,0,0,india,,3,train,masks/grid_17_mask_1776_cog.tif,images/grid_17_1776_cog.tif
4282,2,76,4282,0,0,india,,3,train,masks/grid_76_mask_4282_cog.tif,images/grid_76_4282_cog.tif
145,2,15,145,0,0,india,,3,train,masks/grid_15_mask_145_cog.tif,images/grid_15_145_cog.tif
5094,2,15,5094,0,0,india,,3,train,masks/grid_15_mask_5094_cog.tif,images/grid_15_5094_cog.tif
3258,2,17,3258,0,0,india,,3,train,masks/grid_17_mask_3258_cog.tif,images/grid_17_3258_cog.tif
2320,2,17,2320,0,0,india,,3,train,masks/grid_17_mask_2320_cog.tif,images/grid_17_2320_cog.tif
591,2,17,591,0,0,india,,3,train,masks/grid_17_mask_591_cog.tif,images/grid_17_591_cog.tif
1504,2,25,1504,0,0,india,,3,train,masks/grid_25_mask_1504_cog.tif,images/grid_25_1504_cog.tif
1452,2,17,1452,0,0,india,,3,train,masks/grid_17_mask_1452_cog.tif,images/grid_17_1452_cog.tif
3007,2,17,3007,0,0,india,,3,train,masks/grid_17_mask_3007_cog.tif,images/grid_17_3007_cog.tif
4794,2,28,4794,0,0,india,,3,train,masks/grid_28_mask_4794_cog.tif,images/grid_28_4794_cog.tif
1661,2,28,1661,0,0,india,,3,train,masks/grid_28_mask_1661_cog.tif,images/grid_28_1661_cog.tif
2312,2,18,2312,0,0,india,,3,train,masks/grid_18_mask_2312_cog.tif,images/grid_18_2312_cog.tif
2672,2,85,2672,0,0,india,,3,train,masks/grid_85_mask_2672_cog.tif,images/grid_85_2672_cog.tif
1381,2,25,1381,0,0,india,,3,train,masks/grid_25_mask_1381_cog.tif,images/grid_25_1381_cog.tif
5463,2,18,5463,0,0,india,,3,train,masks/grid_18_mask_5463_cog.tif,images/grid_18_5463_cog.tif
3615,2,18,3615,0,0,india,,3,train,masks/grid_18_mask_3615_cog.tif,images/grid_18_3615_cog.tif
1501,2,76,1501,0,0,india,,3,train,masks/grid_76_mask_1501_cog.tif,images/grid_76_1501_cog.tif
4142,2,76,4142,0,0,india,,3,train,masks/grid_76_mask_4142_cog.tif,images/grid_76_4142_cog.tif
4845,2,25,4845,0,0,india,,3,train,masks/grid_25_mask_4845_cog.tif,images/grid_25_4845_cog.tif
3277,2,17,3277,0,0,india,,3,train,masks/grid_17_mask_3277_cog.tif,images/grid_17_3277_cog.tif
3603,2,85,3603,0,0,india,,3,train,masks/grid_85_mask_3603_cog.tif,images/grid_85_3603_cog.tif
509,2,85,509,0,0,india,,3,train,masks/grid_85_mask_509_cog.tif,images/grid_85_509_cog.tif
1514,2,76,1514,0,0,india,,3,train,masks/grid_76_mask_1514_cog.tif,images/grid_76_1514_cog.tif
1809,2,18,1809,0,0,india,,3,train,masks/grid_18_mask_1809_cog.tif,images/grid_18_1809_cog.tif
3529,2,25,3529,0,0,india,,3,train,masks/grid_25_mask_3529_cog.tif,images/grid_25_3529_cog.tif
2656,2,85,2656,0,0,india,,3,train,masks/grid_85_mask_2656_cog.tif,images/grid_85_2656_cog.tif
3130,2,17,3130,0,0,india,,3,train,masks/grid_17_mask_3130_cog.tif,images/grid_17_3130_cog.tif
5224,2,25,5224,0,0,india,,3,train,masks/grid_25_mask_5224_cog.tif,images/grid_25_5224_cog.tif
1399,2,17,1399,0,0,india,,3,train,masks/grid_17_mask_1399_cog.tif,images/grid_17_1399_cog.tif
4917,2,15,4917,0,0,india,,3,train,masks/grid_15_mask_4917_cog.tif,images/grid_15_4917_cog.tif
327,2,18,327,0,0,india,,3,train,masks/grid_18_mask_327_cog.tif,images/grid_18_327_cog.tif
3376,2,76,3376,0,0,india,,3,train,masks/grid_76_mask_3376_cog.tif,images/grid_76_3376_cog.tif
3597,2,25,3597,0,0,india,,3,train,masks/grid_25_mask_3597_cog.tif,images/grid_25_3597_cog.tif
3949,2,18,3949,0,0,india,,3,train,masks/grid_18_mask_3949_cog.tif,images/grid_18_3949_cog.tif
5066,2,17,5066,0,0,india,,3,train,masks/grid_17_mask_5066_cog.tif,images/grid_17_5066_cog.tif
2481,2,85,2481,0,0,india,,3,train,masks/grid_85_mask_2481_cog.tif,images/grid_85_2481_cog.tif
3990,2,85,3990,0,0,india,,3,train,masks/grid_85_mask_3990_cog.tif,images/grid_85_3990_cog.tif
2624,2,17,2624,0,0,india,,3,train,masks/grid_17_mask_2624_cog.tif,images/grid_17_2624_cog.tif
4063,2,76,4063,0,0,india,,3,train,masks/grid_76_mask_4063_cog.tif,images/grid_76_4063_cog.tif
4260,2,18,4260,0,0,india,,3,train,masks/grid_18_mask_4260_cog.tif,images/grid_18_4260_cog.tif
4684,2,76,4684,0,0,india,,3,train,masks/grid_76_mask_4684_cog.tif,images/grid_76_4684_cog.tif
3865,2,76,3865,0,0,india,,3,train,masks/grid_76_mask_3865_cog.tif,images/grid_76_3865_cog.tif
1483,2,15,1483,0,0,india,,3,train,masks/grid_15_mask_1483_cog.tif,images/grid_15_1483_cog.tif
3817,2,25,3817,0,0,india,,3,train,masks/grid_25_mask_3817_cog.tif,images/grid_25_3817_cog.tif
1809,2,85,1809,0,0,india,,3,train,masks/grid_85_mask_1809_cog.tif,images/grid_85_1809_cog.tif
4249,2,25,4249,0,0,india,,3,train,masks/grid_25_mask_4249_cog.tif,images/grid_25_4249_cog.tif
4032,2,18,4032,0,0,india,,3,train,masks/grid_18_mask_4032_cog.tif,images/grid_18_4032_cog.tif
5455,2,76,5455,0,0,india,,3,train,masks/grid_76_mask_5455_cog.tif,images/grid_76_5455_cog.tif
3148,2,18,3148,0,0,india,,3,train,masks/grid_18_mask_3148_cog.tif,images/grid_18_3148_cog.tif
